year,region,value
2009,,15.1
2010,,15.2
2011,,15.3
2012,,13.2
2013,,13.0
2014,,12.5
2015,,10.6
2016,,10.1
2000,ME,3.5
2001,ME,4.2
2002,ME,5.3
2003,ME,5.9
2004,ME,5.1
2005,ME,5.3
2006,ME,4.9
2007,ME,4.9
2008,ME,5.9
2009,ME,9.3
2010,ME,9.3
2011,ME,9
2012,ME,8.2
2013,ME,7.2
2014,ME,6.9
2015,ME,4.6
2016,ME,4.1
2017,ME,3.4
1999,ME,4.4
2000,WI,3.6
2001,WI,5.2
2002,WI,6.4
2003,WI,6.4
2004,WI,5.6
2005,WI,4.8
2006,WI,5.2
2007,WI,5.4
2008,WI,5.2
2009,WI,10
2010,WI,9.7
2011,WI,8.8
2012,WI,7.5
2013,WI,7.7
2014,WI,5.8
2015,WI,4.6
2016,WI,4.7
2017,WI,3.4
1999,WI,3.2
2000,MD,4.1
2001,MD,4.2
2002,MD,4.3
2003,MD,4.5
2004,MD,3.9
2005,MD,4.1
2006,MD,3.8
2007,MD,3.3
2008,MD,4.7
2009,MD,8
2010,MD,8
2011,MD,7.2
2012,MD,7.3
2013,MD,7.1
2014,MD,5.8
2015,MD,5.1
2016,MD,3.8
2017,MD,4.1
1999,MD,3.7
2000,NJ,3.5
2001,NJ,3.9
2002,NJ,5.3
2003,NJ,6.1
2004,NJ,4.7
2005,NJ,4.2
2006,NJ,4.8
2007,NJ,4.5
2008,NJ,5.8
2009,NJ,9.6
2010,NJ,9.7
2011,NJ,9.6
2012,NJ,9.5
2013,NJ,8.7
2014,NJ,6.9
2015,NJ,5.6
2016,NJ,4.6
2017,NJ,4.4
1999,NJ,4.4
2000,KY,4
2001,KY,5.4
2002,KY,6.1
2003,KY,6.5
2004,KY,5.6
2005,KY,5.9
2006,KY,5.5
2007,KY,5.6
2008,KY,6.5
2009,KY,11.1
2010,KY,11.1
2011,KY,10.5
2012,KY,8.7
2013,KY,8.7
2014,KY,7.1
2015,KY,6.1
2016,KY,5.4
2017,KY,5.5
1999,KY,4.4
2000,NY,4.6
2001,NY,5.1
2002,NY,6.7
2003,NY,6.5
2004,NY,5.9
2005,NY,5.5
2006,NY,4.8
2007,NY,5.1
2008,NY,6.0
2009,NY,9
2010,NY,9.3
2011,NY,8.4
2012,NY,9.4
2013,NY,8.2
2014,NY,6.8
2015,NY,5.3
2016,NY,4.9
2017,NY,4.7
1999,NY,5.2
2000,OH,4
2001,OH,4.5
2002,OH,6.0
2003,OH,6.5
2004,OH,6.6
2005,OH,6.2
2006,OH,5.9
2007,OH,6.0
2008,OH,6.8
2009,OH,11.8
2010,OH,11.5
2011,OH,9.4
2012,OH,7.3
2013,OH,8.3
2014,OH,5.9
2015,OH,5
2016,OH,5.2
2017,OH,5.3
1999,OH,4.3
2000,MT,5.2
2001,MT,5
2002,MT,5.4
2003,MT,5.1
2004,MT,5.6
2005,MT,4.6
2006,MT,3.7
2007,MT,3.8
2008,MT,5.5
2009,MT,8.5
2010,MT,9.3
2011,MT,8.7
2012,MT,7.2
2013,MT,6.2
2014,MT,5.4
2015,MT,4.9
2016,MT,4.6
2017,MT,4.3
1999,MT,5.3
2000,MA,2.6
2001,MA,4.2
2002,MA,5.6
2003,MA,6.4
2004,MA,5.9
2005,MA,5.6
2006,MA,5.6
2007,MA,5.0
2008,MA,5.9
2009,MA,9.7
2010,MA,9.6
2011,MA,8.2
2012,MA,7.5
2013,MA,7.7
2014,MA,6.2
2015,MA,5.5
2016,MA,4.0
2017,MA,4.2
1999,MA,3.1
2000,NV,4.2
2001,NV,5.3
2002,NV,5.4
2003,NV,5.0
2004,NV,4.2
2005,NV,4.4
2006,NV,4.2
2007,NV,4.9
2008,NV,6.2
2009,NV,13
2010,NV,15.8
2011,NV,14.4
2012,NV,12
2013,NV,9.9
2014,NV,7.3
2015,NV,6.6
2016,NV,6.1
2017,NV,5.5
1999,NV,4.5
2000,UT,3
2001,UT,3.9
2002,UT,5.8
2003,UT,5.8
2004,UT,5.2
2005,UT,3.8
2006,UT,2.8
2007,UT,2.4
2008,UT,4.1
2009,UT,8.3
2010,UT,9.5
2011,UT,7.4
2012,UT,6.1
2013,UT,4.4
2014,UT,4
2015,UT,3.1
2016,UT,3.7
2017,UT,3.0
1999,UT,3.6
2000,PA,4.4
2001,PA,5
2002,PA,6.3
2003,PA,6.0
2004,PA,6.3
2005,PA,4.8
2006,PA,4.7
2007,PA,4.8
2008,PA,5.9
2009,PA,8.8
2010,PA,9.5
2011,PA,8.3
2012,PA,7.9
2013,PA,8.1
2014,PA,6.5
2015,PA,5.4
2016,PA,5.8
2017,PA,5.2
1999,PA,4.5
2000,GA,3.3
2001,GA,3.9
2002,GA,4.7
2003,GA,5.0
2004,GA,4.6
2005,GA,5.4
2006,GA,4.5
2007,GA,4.0
2008,GA,6.0
2009,GA,10.3
2010,GA,11.7
2011,GA,10.1
2012,GA,8.4
2013,GA,7.3
2014,GA,7.1
2015,GA,5.4
2016,GA,4.9
2017,GA,4.7
1999,GA,3.3
2000,ID,4.8
2001,ID,5.1
2002,ID,6.1
2003,ID,5.8
2004,ID,5.8
2005,ID,3.6
2006,ID,3.1
2007,ID,2.9
2008,ID,5.9
2009,ID,10
2010,ID,9.7
2011,ID,9.2
2012,ID,6.5
2013,ID,5.9
2014,ID,5
2015,ID,4.7
2016,ID,3.9
2017,ID,3.1
1999,ID,5.3
2000,IN,3.1
2001,IN,4.6
2002,IN,5.5
2003,IN,5.7
2004,IN,5.2
2005,IN,5.5
2006,IN,4.5
2007,IN,5.0
2008,IN,6.5
2009,IN,11.8
2010,IN,11.4
2011,IN,8.7
2012,IN,8.1
2013,IN,7.4
2014,IN,6.3
2015,IN,4.8
2016,IN,4.4
2017,IN,3.8
1999,IN,2.8
2000,SD,2.5
2001,SD,3.3
2002,SD,3.4
2003,SD,3.9
2004,SD,3.5
2005,SD,4.6
2006,SD,2.9
2007,SD,3.0
2008,SD,3.1
2009,SD,5.7
2010,SD,6
2011,SD,5
2012,SD,4.8
2013,SD,3.9
2014,SD,3.3
2015,SD,3.7
2016,SD,3.0
2017,SD,3.6
1999,SD,2.9
2000,MN,3.8
2001,MN,4.4
2002,MN,5.3
2003,MN,5.7
2004,MN,5.5
2005,MN,4.4
2006,MN,4.7
2007,MN,5.1
2008,MN,6.0
2009,MN,9.3
2010,MN,8.6
2011,MN,6.9
2012,MN,6.2
2013,MN,5.3
2014,MN,4.4
2015,MN,4.3
2016,MN,4.5
2017,MN,4.1
1999,MN,2.9
2000,NM,5.2
2001,NM,5
2002,NM,6.0
2003,NM,6.5
2004,NM,5.4
2005,NM,5.9
2006,NM,4.3
2007,NM,3.7
2008,NM,4.2
2009,NM,8.4
2010,NM,10.1
2011,NM,8.2
2012,NM,7.7
2013,NM,7.6
2014,NM,6.1
2015,NM,7.5
2016,NM,7.3
2017,NM,6.5
1999,NM,5.9
2000,FL,3.3
2001,FL,4.5
2002,FL,5.2
2003,FL,4.9
2004,FL,4.5
2005,FL,3.3
2006,FL,3.2
2007,FL,4.3
2008,FL,6.6
2009,FL,11.5
2010,FL,12.3
2011,FL,10.7
2012,FL,8.9
2013,FL,7.5
2014,FL,6.2
2015,FL,5.5
2016,FL,5.0
2017,FL,3.7
1999,FL,3.5
2000,TX,3.9
2001,TX,4.5
2002,TX,6.3
2003,TX,6.9
2004,TX,6.1
2005,TX,5.4
2006,TX,4.5
2007,TX,3.8
2008,TX,4.7
2009,TX,7.7
2010,TX,8.2
2011,TX,7.7
2012,TX,6.4
2013,TX,6.1
2014,TX,4.6
2015,TX,4.6
2016,TX,4.8
2017,TX,4.2
1999,TX,4.3
2000,OR,5.4
2001,OR,6.9
2002,OR,8.1
2003,OR,9.3
2004,OR,8.0
2005,OR,6.1
2006,OR,5.2
2007,OR,5.1
2008,OR,7.4
2009,OR,13.3
2010,OR,12.3
2011,OR,10
2012,OR,9.3
