year,state,value
2014,OR,7.1
2015,OR,5.7
2016,OR,4.9
2017,OR,4.1
1999,OR,5.7
2000,CA,4.9
2001,CA,5.3
2002,CA,6.7
2003,CA,6.7
2004,CA,6.2
2005,CA,5.3
2006,CA,4.8
2007,CA,5.3
2008,CA,7.1
2009,CA,11.3
2010,CA,12.2
2011,CA,11.6
2012,CA,10.4
2013,CA,8.9
2014,CA,7.5
2015,CA,6.2
2016,CA,5.4
2017,CA,4.8
1999,CA,5.2
2000,OK,3
2001,OK,3.8
2002,OK,4.5
2003,OK,5.7
2004,OK,4.9
2005,OK,4.6
2006,OK,3.9
2007,OK,4.4
2008,OK,3.7
2009,OK,6.2
2010,OK,7.2
2011,OK,6.2
2012,OK,5.1
2013,OK,5.6
2014,OK,4.5
2015,OK,4.3
2016,OK,5.1
2017,OK,4.4
1999,OK,3.4
2000,DE,4
2001,DE,3.5
2002,DE,4.2
2003,DE,4.4
2004,DE,3.9
2005,DE,4.3
2006,DE,3.5
2007,DE,3.5
2008,DE,5.0
2009,DE,8.5
2010,DE,8.5
2011,DE,7.5
2012,DE,7.2
2013,DE,7
2014,DE,5.8
2015,DE,5
2016,DE,4.3
2017,DE,4.8
1999,DE,3.5
2000,LA,5.5
2001,LA,6
2002,LA,6.1
2003,LA,6.6
2004,LA,6.0
2005,LA,6.0
2006,LA,4.6
2007,LA,4.3
2008,LA,5.0
2009,LA,7.1
2010,LA,7.8
2011,LA,7.8
2012,LA,7.1
2013,LA,7
2014,LA,6.4
2015,LA,6.2
2016,LA,6.2
2017,LA,5.1
1999,LA,5.1
2000,SC,3.9
2001,SC,5.4
2002,SC,6.0
2003,SC,6.8
2004,SC,6.9
2005,SC,6.7
2006,SC,6.5
2007,SC,5.6
2008,SC,6.7
2009,SC,11.8
2010,SC,11
2011,SC,10.5
2012,SC,9.4
2013,SC,7.6
2014,SC,6.4
2015,SC,5.9
2016,SC,4.9
2017,SC,4.4
1999,SC,4.5
2000,RI,4.1
2001,RI,4.7
2002,RI,5.1
2003,RI,5.3
2004,RI,5.4
2005,RI,5.2
2006,RI,5.2
2007,RI,4.9
2008,RI,7.9
2009,RI,11.2
2010,RI,11.3
2011,RI,11.1
2012,RI,10.5
2013,RI,9.2
2014,RI,7.7
2015,RI,5.9
2016,RI,5.4
2017,RI,4.4
1999,RI,4.1
2000,DC,5.8
2001,DC,6.5
2002,DC,6.4
2003,DC,7.0
2004,DC,8.2
2005,DC,6.2
2006,DC,5.8
2007,DC,5.5
2008,DC,6.6
2009,DC,9.5
2010,DC,9.2
2011,DC,10.4
2012,DC,9
2013,DC,8.6
2014,DC,7.8
2015,DC,6.9
2016,DC,6.1
2017,DC,6.2
1999,DC,6.3
2000,NC,3.6
2001,NC,5.5
2002,NC,6.7
2003,NC,6.5
2004,NC,5.4
2005,NC,5.2
2006,NC,4.7
2007,NC,4.5
2008,NC,6.4
2009,NC,10.4
2010,NC,10.5
2011,NC,10.5
2012,NC,9.2
2013,NC,7.9
2014,NC,6.2
2015,NC,5.9
2016,NC,5.0
2017,NC,4.5
1999,NC,3.2
2000,KS,3.7
2001,KS,4.3
2002,KS,5.1
2003,KS,5.4
2004,KS,5.5
2005,KS,5.1
2006,KS,4.4
2007,KS,4.1
2008,KS,4.5
2009,KS,6.8
2010,KS,7.4
2011,KS,6.7
2012,KS,5.6
2013,KS,5.6
2014,KS,4.6
2015,KS,4.3
2016,KS,4.2
2017,KS,3.6
1999,KS,3.0
2000,AL,4.6
2001,AL,5.3
2002,AL,5.9
2003,AL,5.8
2004,AL,5.8
2005,AL,4.2
2006,AL,4.1
2007,AL,4.0
2008,AL,5.6
2009,AL,11.2
2010,AL,10.5
2011,AL,9.8
2012,AL,8
2013,AL,6.9
2014,AL,7.1
2015,AL,6.1
2016,AL,6.0
2017,AL,4.3
1999,AL,4.8
2000,HI,4.3
2001,HI,4.6
2002,HI,4.2
2003,HI,4.3
2004,HI,3.4
2005,HI,2.9
2006,HI,2.7
2007,HI,2.9
2008,HI,4.2
2009,HI,7.4
2010,HI,7
2011,HI,7.3
2012,HI,6
2013,HI,4.8
2014,HI,4.4
2015,HI,3.7
2016,HI,3.0
2017,HI,2.4
1999,HI,5.6
2000,MS,5.7
2001,MS,5.5
2002,MS,6.8
2003,MS,6.3
2004,MS,6.2
2005,MS,6.9
2006,MS,6.4
2007,MS,6.1
2008,MS,6.5
2009,MS,9.2
2010,MS,10.9
2011,MS,10.5
2012,MS,8.9
2013,MS,8.8
2014,MS,7.7
2015,MS,6.5
2016,MS,5.7
2017,MS,5.1
1999,MS,5.1
2000,MI,3.6
2001,MI,5.3
2002,MI,6.2
2003,MI,7.3
2004,MI,7.0
2005,MI,6.6
2006,MI,7
2007,MI,7.1
2008,MI,8.3
2009,MI,13.3
2010,MI,12.2
2011,MI,10.2
2012,MI,9.1
2013,MI,8.6
2014,MI,7.2
2015,MI,5.4
2016,MI,4.9
2017,MI,4.7
1999,MI,3.8
2000,AK,6.6
2001,AK,6.3
2002,AK,7.7
2003,AK,8.0
2004,AK,7.5
2005,AK,6.7
2006,AK,6.9
2007,AK,6.2
2008,AK,6.8
2009,AK,7.9
2010,AK,8
2011,AK,7.6
2012,AK,7.4
2013,AK,6.6
2014,AK,7.1
2015,AK,6.7
2016,AK,6.6
2017,AK,7.7
1999,AK,6.4
2000,MO,3.5
2001,MO,4.7
2002,MO,5.5
2003,MO,5.6
2004,MO,5.7
2005,MO,5.5
2006,MO,4.8
2007,MO,5.0
2008,MO,6.1
2009,MO,9.4
2010,MO,9.5
2011,MO,8.4
2012,MO,6.9
2013,MO,6.6
2014,MO,6.4
2015,MO,5
2016,MO,4.4
2017,MO,3.8
1999,MO,3.4
2000,WY,3.9
2001,WY,3.9
2002,WY,4.2
2003,WY,4.4
2004,WY,3.8
2005,WY,3.6
2006,WY,3.4
2007,WY,2.9
2008,WY,2.9
2009,WY,6.5
2010,WY,6.6
2011,WY,5.9
2012,WY,5.5
2013,WY,4.6
2014,WY,4.4
2015,WY,4.1
2016,WY,5.4
2017,WY,4.3
1999,WY,4.9
2000,WV,5.5
2001,WV,4.9
2002,WV,6.1
2003,WV,6.1
2004,WV,5.3
2005,WV,5.3
2006,WV,5.1
2007,WV,4.6
2008,WV,4.4
2009,WV,8
2010,WV,9
2011,WV,8.1
2012,WV,7.4
2013,WV,6.6
2014,WV,6.6
2015,WV,6.9
2016,WV,6.1
2017,WV,5.2
1999,WV,6.6
2000,TN,3.9
2001,TN,4.5
2002,TN,5.1
2003,TN,5.8
2004,TN,5.1
2005,TN,5.6
2006,TN,5.2
2007,TN,4.6
2008,TN,6.6
2009,TN,10.8
2010,TN,9.4
2011,TN,9.2
2012,TN,7.8
2013,TN,8
2014,TN,6.6
2015,TN,5.7
2016,TN,4.7
2017,TN,3.7
1999,TN,4.0
2000,AZ,3.9
2001,AZ,4.7
2002,AZ,6.2
2003,AZ,5.6
2004,AZ,5.1
2005,AZ,4.8
2006,AZ,4.2
2007,AZ,3.9
2008,AZ,5.9
2009,AZ,10
2010,AZ,10.4
2011,AZ,9.5
2012,AZ,8.2
2013,AZ,8
2014,AZ,7
2015,AZ,6
2016,AZ,5.2
2017,AZ,4.7
1999,AZ,4.4
2000,VA,2.2
2001,VA,3.5
2002,VA,4.1
2003,VA,4.1
2004,VA,3.9
2005,VA,3.5
2006,VA,3.1
2007,VA,3.1
2008,VA,4.0
2009,VA,6.6
2010,VA,7.5
2011,VA,6.5
2012,VA,6
2013,VA,5.6
2014,VA,5.2
2015,VA,4.5
2016,VA,4.1
2017,VA,3.7
1999,VA,2.8
2000,NH,2.8
2001,NH,3.5
2002,NH,4.7
2003,NH,4.3
2004,NH,3.7
2005,NH,3.7
2006,NH,3.4
2007,NH,3.6
2008,NH,3.8
2009,NH,6.4
2010,NH,5.9
2011,NH,5.4
2012,NH,5.6
2013,NH,5.2
2014,NH,4.2
2015,NH,3.4
2016,NH,2.8
2017,NH,2.8
1999,NH,2.7
2000,CT,2.3
2001,CT,3.3
2002,CT,4.3
2003,CT,5.5
2004,CT,4.9
2005,CT,5.0
2006,CT,4.3
2007,CT,4.5
2008,CT,5.7
2009,CT,8.1
2010,CT,9.2
2011,CT,8.9
2012,CT,8.4
2013,CT,7.7
2014,CT,6.6
2015,CT,5.6
2016,CT,5.2
2017,CT,4.9
1999,CT,3.2
2000,IL,4.4
2001,IL,5.4
2002,IL,6.5
2003,IL,6.7
2004,IL,6.1
2005,IL,5.6
2006,IL,4.5
2007,IL,5.1
2008,IL,6.6
2009,IL,10
2010,IL,10.2
2011,IL,9.7
2012,IL,8.7
2013,IL,9.1
2014,IL,7
2015,IL,5.9
2016,IL,5.9
2017,IL,4.9
1999,IL,4.3
2000,ND,3
2001,ND,2.8
2002,ND,4.0
2003,ND,4.0
2004,ND,3.4
2005,ND,3.4
2006,ND,3.3
2007,ND,3.2
2008,ND,3.2
2009,ND,4.2
2010,ND,3.8
2011,ND,3.6
2012,ND,3.2
2013,ND,2.9
2014,ND,2.8
2015,ND,2.7
2016,ND,3.3
2017,ND,2.6
1999,ND,3.4
2000,AR,4.4
2001,AR,5.1
2002,AR,5.4
2003,AR,6.2
2004,AR,5.9
2005,AR,5.1
2006,AR,5.3
2007,AR,5.6
2008,AR,5.2
2009,AR,7.8
2010,AR,8.6
2011,AR,8.6
2012,AR,7.6
2013,AR,7.8
2014,AR,6
2015,AR,5.2
2016,AR,3.9
2017,AR,3.7
1999,AR,4.5
2000,CO,2.7
2001,CO,3.7
2002,CO,5.7
2003,CO,6.0
2004,CO,5.4
2005,CO,4.9
2006,CO,4.2
2007,CO,3.7
2008,CO,4.8
2009,CO,7.4
2010,CO,8.7
2011,CO,8.4
2012,CO,8.1
2013,CO,6.6
2014,CO,4.9
2015,CO,3.9
2016,CO,3.3
2017,CO,2.9
1999,CO,2.9
2000,NE,3
2001,NE,3.1
2002,NE,3.6
2003,NE,4.0
2004,NE,3.8
2005,NE,4.0
2006,NE,3.1
2007,NE,3.1
2008,NE,3.3
2009,NE,4.6
2010,NE,4.8
2011,NE,4.5
2012,NE,4
2013,NE,4.1
2014,NE,3.3
2015,NE,3
2016,NE,3.4
2017,NE,2.8
1999,NE,2.9
2000,IA,2.6
2001,IA,3.3
2002,IA,4.0
2003,IA,4.5
2004,IA,4.6
2005,IA,4.5
2006,IA,3.6
2007,IA,3.7
2008,IA,4.0
2009,IA,6.3
2010,IA,6.1
2011,IA,5.8
2012,IA,5.1
2013,IA,4.7
2014,IA,4.6
2015,IA,3.6
2016,IA,3.9
2017,IA,3.2
1999,IA,2.5
2000,VT,2.9
2001,VT,3.6
2002,VT,3.7
2003,VT,4.6
2004,VT,3.7
2005,VT,3.5
2006,VT,3.6
2007,VT,4.0
2008,VT,4.9
2009,VT,6.5
2010,VT,6.2
2011,VT,5.8
2012,VT,5.1
2013,VT,4.3
2014,VT,4.2
2015,VT,3.6
2016,VT,3.3
2017,VT,3.1
1999,VT,3.0
2000,WA,5.2
2001,WA,6.4
2002,WA,7.3
2003,WA,7.5
2004,WA,6.2
2005,WA,5.6
2006,WA,5
2007,WA,4.6
2008,WA,5.3
2009,WA,9
2010,WA,10.2
2011,WA,9.4
2012,WA,8.3
2013,WA,7
2014,WA,6.3
2015,WA,5.6
2016,WA,5.5
2017,WA,4.6
1999,WA,4.7
